"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid","-log10p","significance"
"ENSG00000140557",52.5847322650855,-6.03027599589707,1.2141426191462,49.110106310068,5.53799680125539e-10,1.37883813691701e-06,"ST8SIA2",8128,9.25664729943868,"TRUE"
"ENSG00000196565",50.7147524035241,-2.35182137720172,0.465165618476022,47.2174129122554,1.37390861599406e-09,3.07865442671949e-06,"HBG2",3048,8.86204215293103,"TRUE"
"ENSG00000161681",20.8216818705595,-2.15139405812927,0.511359181178961,34.4503559690713,6.02382060630917e-07,0.000749898734145422,"SHANK1",50944,6.22012797021541,"TRUE"
"ENSG00000146122",178.531544739312,-1.15215166480998,0.431382188122327,33.929674661453,7.7034993446497e-07,0.000863100066574553,"DAAM2",23500,6.11331195004257,"TRUE"
"ENSG00000183248",5.6025482422465,-1.86343636636494,0.686055068944101,32.8811293367627,1.26332190639295e-06,0.00128675078538424,"PRR36",80164,5.89848597299402,"TRUE"
"ENSG00000173809",5.2283906584891,-1.4181132549549,0.420457985073912,31.6942501370687,2.20905652495789e-06,0.00196896325336958,"TDRD12",91646,5.65579317133399,"TRUE"
"ENSG00000132465",96.4990217399414,-1.23423683618056,0.358587159870604,30.8516701309175,3.28225569101809e-06,0.00245162618414445,"JCHAIN",3512,5.48382758998833,"TRUE"
"ENSG00000137959",356.701545395829,1.08742420926747,0.412558794902873,29.8057073456944,5.36102642804547e-06,0.00375405875623884,"IFI44L",10964,5.27075205184464,"TRUE"
"ENSG00000120738",14.5050794301291,-1.44844573849473,0.315545391514093,29.540119946281,6.07124559289887e-06,0.00412255973471751,"EGR1",1958,5.21672219877201,"TRUE"
"ENSG00000125740",45.399161411631,-1.2376280240048,0.308443850007224,28.2271494291974,1.12181070199458e-05,0.00661514058165644,"FOSB",2354,4.95008042116817,"TRUE"
"ENSG00000180537",116.827517477703,-1.82377605110095,0.446448419920402,27.5172328512976,1.5622641012029e-05,0.0083350509475606,"RNF182",221687,4.80624554664329,"TRUE"
"ENSG00000108813",6.69828195070883,-1.28173823332804,0.342936420451956,27.1933743712685,1.81672036304532e-05,0.00922293110405408,"DLX4",1748,4.74071191591294,"TRUE"
"ENSG00000124257",4.49765161101838,-1.36121980390586,0.366006394906527,26.1820137928652,2.90797032110434e-05,0.0125311151837127,"NEURL2",140825,4.53641003022235,"TRUE"
"ENSG00000165323",5.95973754401238,-1.20758284318561,0.822811164270567,25.3001698169189,4.37797504293924e-05,0.0173849069225978,"FAT3",120114,4.3587267184978,"TRUE"
"ENSG00000125743",265.771375250865,-1.24745149115639,0.294838724551108,25.2703225892046,4.43894180596764e-05,0.0173849069225978,"SNRPD2",6633,4.35272054848957,"TRUE"
"ENSG00000060709",10.0654944599866,-2.09799889087872,0.655914317805946,24.6923682755122,5.80066078101734e-05,0.0213083945542683,"RIMBP2",23504,4.23652253105712,"TRUE"
"ENSG00000144485",10.9107841994101,-1.07123954748628,0.282145421953277,24.3393053793486,6.82906603266067e-05,0.0246092794616346,"HES6",55502,4.16563868791397,"TRUE"
"ENSG00000169682",3.96676208587213,-1.28538143837672,0.310492237814349,24.0492694393255,7.80787849977679e-05,0.024668276672835,"SPNS1",83985,4.10746695344678,"TRUE"
"ENSG00000169429",34.7359460540865,-1.14656802620299,0.28455874458458,22.0839862876232,0.000192850906239807,0.0436710265752651,"CXCL8",3576,3.71477831596816,"TRUE"
"ENSG00000166106",2.57901039976568,-2.13794005337181,0.484190004941614,22.1472343912404,0.000187338293262248,0.0436710265752651,"ADAMTS15",170689,3.7273734407098,"TRUE"
"ENSG00000178445",7.14799128912386,-1.02035670255743,0.411252669286083,21.8342246233087,0.000216236696071914,0.0454080500130724,"GLDC",2731,3.66507060293964,"TRUE"
"ENSG00000125319",14.7409366004541,-1.07456568573234,0.27126860689372,21.8653277156682,0.000213177723832839,0.0454080500130724,"HROB",78995,3.67125817920422,"TRUE"
