"","log2FoldChange","pvalue","padj","symbol","entrezid","-log10p","significance"
"ENSG00000055118",1.39555062755146,9.4488149931361e-13,5.29322615915484e-09,"KCNH2",3757,12.0246226543703,"TRUE"
"ENSG00000140557",-5.44139777036461,5.53799680125539e-10,1.37883813691701e-06,"ST8SIA2",8128,9.25664729943868,"TRUE"
"ENSG00000196565",-1.5607527878953,1.37390861599406e-09,3.07865442671949e-06,"HBG2",3048,8.86204215293103,"TRUE"
"ENSG00000183248",-2.15010472123321,1.26332190639295e-06,0.00128675078538424,"PRR36",80164,5.89848597299402,"TRUE"
"ENSG00000173809",-1.86406156217152,2.20905652495789e-06,0.00196896325336958,"TDRD12",91646,5.65579317133399,"TRUE"
"ENSG00000120738",-1.40931734710633,6.07124559289887e-06,0.00412255973471751,"EGR1",1958,5.21672219877201,"TRUE"
"ENSG00000125740",-1.41032091899856,1.12181070199458e-05,0.00661514058165644,"FOSB",2354,4.95008042116817,"TRUE"
"ENSG00000131711",1.23916535923131,2.81951113044338e-05,0.0123881579237206,"MAP1B",4131,4.54982618662959,"TRUE"
"ENSG00000124257",-1.27423378563272,2.90797032110434e-05,0.0125311151837127,"NEURL2",140825,4.53641003022235,"TRUE"
"ENSG00000060709",-3.49367459984281,5.80066078101734e-05,0.0213083945542683,"RIMBP2",23504,4.23652253105712,"TRUE"
"ENSG00000101447",-1.02209203464205,0.00017704190112243,0.0426086718593176,"FAM83D",81610,3.75192393548756,"TRUE"
"ENSG00000169429",-1.20383266867626,0.000192850906239807,0.0436710265752651,"CXCL8",3576,3.71477831596816,"TRUE"
"ENSG00000166106",-1.33116964184872,0.000187338293262248,0.0436710265752651,"ADAMTS15",170689,3.7273734407098,"TRUE"
"ENSG00000147689",1.34633786657133,0.000220879929106787,0.0454080500130724,"FAM83A",84985,3.65584374575912,"TRUE"
