"","log2FoldChange","pvalue","padj","symbol","entrezid","-log10p","significance"
"ENSG00000140557",2.62251978364002,5.53799680125539e-10,1.37883813691701e-06,"ST8SIA2",8128,9.25664729943868,"TRUE"
"ENSG00000196565",-2.14122486812429,1.37390861599406e-09,3.07865442671949e-06,"HBG2",3048,8.86204215293103,"TRUE"
"ENSG00000161681",-1.76337119205388,6.02382060630917e-07,0.000749898734145422,"SHANK1",50944,6.22012797021541,"TRUE"
"ENSG00000146122",-1.74070754428117,7.7034993446497e-07,0.000863100066574553,"DAAM2",23500,6.11331195004257,"TRUE"
"ENSG00000183248",1.07727306767308,1.26332190639295e-06,0.00128675078538424,"PRR36",80164,5.89848597299402,"TRUE"
"ENSG00000173809",-1.56772146646683,2.20905652495789e-06,0.00196896325336958,"TDRD12",91646,5.65579317133399,"TRUE"
"ENSG00000125740",-1.03996439223461,1.12181070199458e-05,0.00661514058165644,"FOSB",2354,4.95008042116817,"TRUE"
"ENSG00000180537",-1.35469378070051,1.5622641012029e-05,0.0083350509475606,"RNF182",221687,4.80624554664329,"TRUE"
"ENSG00000108813",-1.1950705757993,1.81672036304532e-05,0.00922293110405408,"DLX4",1748,4.74071191591294,"TRUE"
"ENSG00000124257",-1.2301930979668,2.90797032110434e-05,0.0125311151837127,"NEURL2",140825,4.53641003022235,"TRUE"
"ENSG00000165323",1.90322851055728,4.37797504293924e-05,0.0173849069225978,"FAT3",120114,4.3587267184978,"TRUE"
"ENSG00000060709",-1.55178450314807,5.80066078101734e-05,0.0213083945542683,"RIMBP2",23504,4.23652253105712,"TRUE"
"ENSG00000170396",-1.06354434768434,0.000153825355176479,0.0391695290772106,"ZNF804A",91752,3.81297207347051,"TRUE"
"ENSG00000166106",-1.02189523114807,0.000187338293262248,0.0436710265752651,"ADAMTS15",170689,3.7273734407098,"TRUE"
