"","log2FoldChange","pvalue","padj","symbol","entrezid","-log10p","significance"
"ENSG00000140557",-6.03027599589707,5.53799680125539e-10,1.37883813691701e-06,"ST8SIA2",8128,9.25664729943868,"TRUE"
"ENSG00000196565",-2.35182137720172,1.37390861599406e-09,3.07865442671949e-06,"HBG2",3048,8.86204215293103,"TRUE"
"ENSG00000161681",-2.15139405812927,6.02382060630917e-07,0.000749898734145422,"SHANK1",50944,6.22012797021541,"TRUE"
"ENSG00000146122",-1.15215166480998,7.7034993446497e-07,0.000863100066574553,"DAAM2",23500,6.11331195004257,"TRUE"
"ENSG00000183248",-1.86343636636494,1.26332190639295e-06,0.00128675078538424,"PRR36",80164,5.89848597299402,"TRUE"
"ENSG00000173809",-1.4181132549549,2.20905652495789e-06,0.00196896325336958,"TDRD12",91646,5.65579317133399,"TRUE"
"ENSG00000132465",-1.23423683618056,3.28225569101809e-06,0.00245162618414445,"JCHAIN",3512,5.48382758998833,"TRUE"
"ENSG00000137959",1.08742420926747,5.36102642804547e-06,0.00375405875623884,"IFI44L",10964,5.27075205184464,"TRUE"
"ENSG00000120738",-1.44844573849473,6.07124559289887e-06,0.00412255973471751,"EGR1",1958,5.21672219877201,"TRUE"
"ENSG00000125740",-1.2376280240048,1.12181070199458e-05,0.00661514058165644,"FOSB",2354,4.95008042116817,"TRUE"
"ENSG00000180537",-1.82377605110095,1.5622641012029e-05,0.0083350509475606,"RNF182",221687,4.80624554664329,"TRUE"
"ENSG00000108813",-1.28173823332804,1.81672036304532e-05,0.00922293110405408,"DLX4",1748,4.74071191591294,"TRUE"
"ENSG00000124257",-1.36121980390586,2.90797032110434e-05,0.0125311151837127,"NEURL2",140825,4.53641003022235,"TRUE"
"ENSG00000165323",-1.20758284318561,4.37797504293924e-05,0.0173849069225978,"FAT3",120114,4.3587267184978,"TRUE"
"ENSG00000125743",-1.24745149115639,4.43894180596764e-05,0.0173849069225978,"SNRPD2",6633,4.35272054848957,"TRUE"
"ENSG00000060709",-2.09799889087872,5.80066078101734e-05,0.0213083945542683,"RIMBP2",23504,4.23652253105712,"TRUE"
"ENSG00000144485",-1.07123954748628,6.82906603266067e-05,0.0246092794616346,"HES6",55502,4.16563868791397,"TRUE"
"ENSG00000169682",-1.28538143837672,7.80787849977679e-05,0.024668276672835,"SPNS1",83985,4.10746695344678,"TRUE"
"ENSG00000169429",-1.14656802620299,0.000192850906239807,0.0436710265752651,"CXCL8",3576,3.71477831596816,"TRUE"
"ENSG00000166106",-2.13794005337181,0.000187338293262248,0.0436710265752651,"ADAMTS15",170689,3.7273734407098,"TRUE"
"ENSG00000178445",-1.02035670255743,0.000216236696071914,0.0454080500130724,"GLDC",2731,3.66507060293964,"TRUE"
"ENSG00000125319",-1.07456568573234,0.000213177723832839,0.0454080500130724,"HROB",78995,3.67125817920422,"TRUE"
